date,model_id,likes,downloads,downloads_all_time,likes_delta,downloads_delta
2025-04-09,RedHatAI/CLIP-ViT-B-32-256x256-DataComp-s34B-b86K-ds,0,0,0,0,0
2025-04-10,RedHatAI/CLIP-ViT-B-32-256x256-DataComp-s34B-b86K-ds,0,0,0,0,0
2025-04-09,RedHatAI/CLIP-ViT-B-32-256x256-DataComp-s34B-b86K-quant-ds,8,0,0,8,0
2025-04-10,RedHatAI/CLIP-ViT-B-32-256x256-DataComp-s34B-b86K-quant-ds,8,0,0,0,0
2025-04-09,RedHatAI/DeepSeek-Coder-V2-Base-FP8,0,7,507,0,507
2025-04-10,RedHatAI/DeepSeek-Coder-V2-Base-FP8,0,4,507,0,0
2025-04-09,RedHatAI/DeepSeek-Coder-V2-Instruct-FP8,7,35,29188,7,29188
2025-04-10,RedHatAI/DeepSeek-Coder-V2-Instruct-FP8,7,32,29188,0,0
2025-04-09,RedHatAI/DeepSeek-Coder-V2-Lite-Base-FP8,0,5,501,0,501
2025-04-10,RedHatAI/DeepSeek-Coder-V2-Lite-Base-FP8,0,2,501,0,0
2025-04-09,RedHatAI/DeepSeek-Coder-V2-Lite-Instruct-FP8,6,8180,55035,6,55035
2025-04-10,RedHatAI/DeepSeek-Coder-V2-Lite-Instruct-FP8,6,8094,55076,0,41
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Llama-70B-FP8-dynamic,7,105641,139987,7,139987
2025-04-10,RedHatAI/DeepSeek-R1-Distill-Llama-70B-FP8-dynamic,7,103681,144378,0,4391
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,3,2474,12669,3,12669
2025-04-10,RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,3,2383,12694,0,25
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w8a8,1,546,2665,1,2665
2025-04-10,RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w8a8,1,553,2685,0,20
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Llama-8B-FP8-dynamic,2,346,1972,2,1972
2025-04-10,RedHatAI/DeepSeek-R1-Distill-Llama-8B-FP8-dynamic,2,327,1972,0,0
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,0,404,1972,0,1972
2025-04-10,RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,0,383,1972,0,0
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,2,269,1679,2,1679
2025-04-10,RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,2,260,1679,0,0
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-FP8-dynamic,0,360,1474,0,1474
2025-04-10,RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-FP8-dynamic,0,352,1468,0,-6
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-quantized.w4a16,0,114,1316,0,1316
2025-04-10,RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-quantized.w4a16,0,113,1318,0,2
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-quantized.w8a8,1,324,1364,1,1364
2025-04-10,RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-quantized.w8a8,1,321,1364,0,0
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Qwen-14B-FP8-dynamic,3,885,2468,3,2468
2025-04-10,RedHatAI/DeepSeek-R1-Distill-Qwen-14B-FP8-dynamic,3,851,2468,0,0
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,1,1461,3141,1,3141
2025-04-10,RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,1,1452,3141,0,0
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w8a8,2,567,2081,2,2081
2025-04-10,RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w8a8,2,565,2081,0,0
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Qwen-32B-FP8-dynamic,6,1793,4412,6,4412
2025-04-10,RedHatAI/DeepSeek-R1-Distill-Qwen-32B-FP8-dynamic,6,1659,4412,0,0
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16,4,774,4837,4,4837
2025-04-10,RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16,4,751,4855,0,18
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w8a8,9,906,6394,9,6394
2025-04-10,RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w8a8,9,886,6413,0,19
