date,model_id,likes,downloads,downloads_all_time,likes_delta,downloads_delta
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed1,0,47,47,0,47
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed1,0,90,90,0,43
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed1,0,90,90,0,0
2025-03-11,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed1,0,94,94,0,4
2025-03-12,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed1,0,106,106,0,12
2025-03-13,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed1,0,108,108,0,2
2025-03-14,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed1,0,110,110,0,2
2025-03-15,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed1,0,113,113,0,3
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed2,0,37,37,0,37
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed2,0,56,56,0,19
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed2,0,56,56,0,0
2025-03-11,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed2,0,71,71,0,15
2025-03-12,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed2,0,77,77,0,6
2025-03-13,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed2,0,77,77,0,0
2025-03-14,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed2,0,77,77,0,0
2025-03-15,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed2,0,77,77,0,0
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed3,0,31,31,0,31
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed3,0,52,52,0,21
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed3,0,52,52,0,0
2025-03-11,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed3,0,62,62,0,10
2025-03-12,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed3,0,66,66,0,4
2025-03-13,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed3,0,66,66,0,0
2025-03-14,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed3,0,67,67,0,1
2025-03-15,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed3,0,68,68,0,1
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed1,0,132,132,0,132
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed1,0,218,218,0,86
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed1,0,218,218,0,0
2025-03-11,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed1,0,236,236,0,18
2025-03-12,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed1,0,269,269,0,33
2025-03-13,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed1,0,278,278,0,9
2025-03-14,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed1,0,281,281,0,3
2025-03-15,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed1,0,285,285,0,4
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed2,0,27,27,0,27
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed2,0,53,53,0,26
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed2,0,53,53,0,0
2025-03-11,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed2,0,54,54,0,1
2025-03-12,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed2,0,58,58,0,4
2025-03-13,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed2,0,60,60,0,2
2025-03-14,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed2,0,60,60,0,0
2025-03-15,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed2,0,62,62,0,2
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed3,0,21,21,0,21
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed3,0,81,81,0,60
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed3,0,81,81,0,0
2025-03-11,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed3,0,82,82,0,1
2025-03-12,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed3,0,94,94,0,12
2025-03-13,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed3,0,94,94,0,0
2025-03-14,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed3,0,95,95,0,1
2025-03-15,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed3,0,95,95,0,0
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed1,0,62,62,0,62
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed1,0,90,90,0,28
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed1,0,90,90,0,0
2025-03-11,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed1,0,92,92,0,2
2025-03-12,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed1,0,98,98,0,6
2025-03-13,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed1,0,98,98,0,0
2025-03-14,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed1,0,100,100,0,2
2025-03-15,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed1,0,102,102,0,2
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed2,0,23,23,0,23
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed2,0,80,80,0,57
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed2,0,80,80,0,0
2025-03-11,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed2,0,86,86,0,6
2025-03-12,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed2,0,105,105,0,19
2025-03-13,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed2,0,108,108,0,3
2025-03-14,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed2,0,110,110,0,2
2025-03-15,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed2,0,113,113,0,3
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed3,0,21,21,0,21
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed3,0,80,80,0,59
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed3,0,80,80,0,0
2025-03-11,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed3,0,83,83,0,3
2025-03-12,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed3,0,97,97,0,14
2025-03-13,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed3,0,98,98,0,1
2025-03-14,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed3,0,98,98,0,0
2025-03-15,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed3,0,98,98,0,0
2025-03-03,ibm-granite/GneissWeb.Edu_classifier,1,0,0,1,0
2025-03-09,ibm-granite/GneissWeb.Edu_classifier,1,0,0,0,0
2025-03-10,ibm-granite/GneissWeb.Edu_classifier,1,0,0,0,0
2025-03-11,ibm-granite/GneissWeb.Edu_classifier,1,0,0,0,0
2025-03-12,ibm-granite/GneissWeb.Edu_classifier,1,0,0,0,0
2025-03-13,ibm-granite/GneissWeb.Edu_classifier,1,0,0,0,0
2025-03-14,ibm-granite/GneissWeb.Edu_classifier,1,0,0,0,0
2025-03-15,ibm-granite/GneissWeb.Edu_classifier,1,0,0,0,0
2025-03-03,ibm-granite/GneissWeb.Med_classifier,1,0,0,1,0
2025-03-09,ibm-granite/GneissWeb.Med_classifier,1,0,0,0,0
2025-03-10,ibm-granite/GneissWeb.Med_classifier,1,0,0,0,0
2025-03-11,ibm-granite/GneissWeb.Med_classifier,1,0,0,0,0
2025-03-12,ibm-granite/GneissWeb.Med_classifier,1,0,0,0,0
2025-03-13,ibm-granite/GneissWeb.Med_classifier,1,0,0,0,0
2025-03-14,ibm-granite/GneissWeb.Med_classifier,1,0,0,0,0
2025-03-15,ibm-granite/GneissWeb.Med_classifier,1,0,0,0,0
2025-03-03,ibm-granite/GneissWeb.Quality_annotator,2,0,0,2,0
2025-03-09,ibm-granite/GneissWeb.Quality_annotator,2,0,0,0,0
2025-03-10,ibm-granite/GneissWeb.Quality_annotator,2,0,0,0,0
2025-03-11,ibm-granite/GneissWeb.Quality_annotator,2,0,0,0,0
2025-03-12,ibm-granite/GneissWeb.Quality_annotator,2,0,0,0,0
2025-03-13,ibm-granite/GneissWeb.Quality_annotator,2,0,0,0,0
2025-03-14,ibm-granite/GneissWeb.Quality_annotator,2,0,0,0,0
2025-03-15,ibm-granite/GneissWeb.Quality_annotator,2,0,0,0,0
2025-03-03,ibm-granite/GneissWeb.Sci_classifier,1,0,0,1,0
2025-03-09,ibm-granite/GneissWeb.Sci_classifier,1,0,0,0,0
2025-03-10,ibm-granite/GneissWeb.Sci_classifier,1,0,0,0,0
2025-03-11,ibm-granite/GneissWeb.Sci_classifier,1,0,0,0,0
2025-03-12,ibm-granite/GneissWeb.Sci_classifier,1,0,0,0,0
2025-03-13,ibm-granite/GneissWeb.Sci_classifier,1,0,0,0,0
2025-03-14,ibm-granite/GneissWeb.Sci_classifier,1,0,0,0,0
2025-03-15,ibm-granite/GneissWeb.Sci_classifier,1,0,0,0,0
2025-03-03,ibm-granite/GneissWeb.Tech_classifier,1,0,0,1,0
2025-03-09,ibm-granite/GneissWeb.Tech_classifier,1,0,0,0,0
2025-03-10,ibm-granite/GneissWeb.Tech_classifier,1,0,0,0,0
2025-03-11,ibm-granite/GneissWeb.Tech_classifier,1,0,0,0,0
2025-03-12,ibm-granite/GneissWeb.Tech_classifier,1,0,0,0,0
2025-03-13,ibm-granite/GneissWeb.Tech_classifier,1,0,0,0,0
2025-03-14,ibm-granite/GneissWeb.Tech_classifier,1,0,0,0,0
2025-03-15,ibm-granite/GneissWeb.Tech_classifier,1,0,0,0,0
2025-03-03,ibm-granite/GneissWeb.bloom,0,0,0,0,0
2025-03-09,ibm-granite/GneissWeb.bloom,0,0,0,0,0
2025-03-10,ibm-granite/GneissWeb.bloom,0,0,0,0,0
2025-03-11,ibm-granite/GneissWeb.bloom,0,0,0,0,0
2025-03-12,ibm-granite/GneissWeb.bloom,0,0,0,0,0
2025-03-13,ibm-granite/GneissWeb.bloom,0,0,0,0,0
2025-03-14,ibm-granite/GneissWeb.bloom,0,0,0,0,0
2025-03-15,ibm-granite/GneissWeb.bloom,0,0,0,0,0
2025-03-03,ibm-granite/granite-20b-code-base-8k,13,501,21286,13,21286
2025-03-09,ibm-granite/granite-20b-code-base-8k,13,191,21346,0,60
2025-03-10,ibm-granite/granite-20b-code-base-8k,13,191,21346,0,0
2025-03-11,ibm-granite/granite-20b-code-base-8k,13,191,21349,0,3
2025-03-12,ibm-granite/granite-20b-code-base-8k,13,187,21352,0,3
2025-03-13,ibm-granite/granite-20b-code-base-8k,13,192,21361,0,9
